date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:10	226568/226568	---MCZ	200	added ('OK')	text/html	etag:cacheable:b9c187c4e9fcb45c6ca95bd617d35f06	https://store.dandelionchocolate.com/pages/home	C:/Users/dell/Desktop/barath/food2/store.dandelionchocolate.com/pages/home.html	(from )
21:39:15	481/481	---MCZ	200	added ('OK')	text/plain	etag:cacheable:ae0ec6e21b5341e520a23dadfd37728e	https://store.dandelionchocolate.com/robots.txt		(from )
21:39:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2016:09:15%20GMT	http://cdn.shopify.com/s/files/1/2434/0841/t/11/assets/dandelion-experiment.js?v=89199939679540020101665010451	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/s/files/1/2434/0841/t/11/assets/dandelion-experiment.17200.delayed	(from https://store.dandelionchocolate.com/pages/home)
21:39:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2016:09:16%20GMT	http://cdn.shopify.com/s/files/1/2434/0841/files/baricon_32x32.png?v=1613153886	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/s/files/1/2434/0841/files/baricon_32x32993f.png	(from https://store.dandelionchocolate.com/pages/home)
21:39:17	146218/146218	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2005%20Oct%202022%2022:54:18%20GMT	https://cdn.shopify.com/s/files/1/2434/0841/t/11/assets/dandelion-experiment.js?v=89199939679540020101665010451	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/s/files/1/2434/0841/t/11/assets/dandelion-experiment7200.js	(from https://store.dandelionchocolate.com/pages/home)
21:39:18	2815/2815	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2018:22:31%20GMT	https://cdn.shopify.com/s/files/1/2434/0841/files/baricon_32x32.png?v=1613153886	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/s/files/1/2434/0841/files/baricon_32x32993f.png	(from https://store.dandelionchocolate.com/pages/home)
21:39:18	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2014:48:40%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://store.dandelionchocolate.com/pages/home)
21:39:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2016:09:18%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://store.dandelionchocolate.com/pages/home)
21:39:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2016:09:18%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://store.dandelionchocolate.com/pages/home)
21:39:19	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2026%20Aug%202022%2001:43:42%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://store.dandelionchocolate.com/pages/home)
21:39:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2016:09:19%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://store.dandelionchocolate.com/pages/home)
21:39:19	50276/50276	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2025%20Oct%202022%2019:43:39%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	C:/Users/dell/Desktop/barath/food2/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://store.dandelionchocolate.com/pages/home)
